Categoria;Palabras clave;Frecuencia al interior del grupo;Frecuencia entre los grupos
Ventas - Comercial - Administración;gps;1;2
Operativo;gps;51;2
Operativo;aluminio;2;1
Operativo;ajuste;1;1
Servicio al cliente;profesional;13;22
Psicologia;profesional;8;22
Educación;profesional;3;22
Contaduria;profesional;41;22
Gastronomia;profesional;1;22
Gestión de Calidad;profesional;18;22
Salud;profesional;125;22
Financiero;profesional;36;22
Practicantes - Aprendices;profesional;24;22
Juridicos;profesional;5;22
Recursos Humanos;profesional;1;22
Construcción;profesional;10;22
Compras;profesional;10;22
Marketing;profesional;44;22
Ventas - Comercial - Administración;profesional;48;22
Operativo;profesional;23;22
Project Manager;profesional;27;22
Logistica;profesional;5;22
Talento TI;profesional;49;22
Diseño;profesional;22;22
Agropecuario;profesional;7;22
SST;profesional;43;22
Project Manager;comisionadores;1;1
Project Manager;bgt;1;1
Talento TI;seniornet;1;1
Operativo;tata;1;1
Operativo;cienaga;1;2
Ventas - Comercial - Administración;cienaga;1;2
Operativo;descague;1;1
Servicio al cliente;unicamente;2;3
Ventas - Comercial - Administración;unicamente;2;3
Operativo;unicamente;1;3
Ventas - Comercial - Administración;plazoleta;1;1
Operativo;referencia;8;2
Salud;referencia;5;2
Operativo;livianas;3;1
Operativo;digitadores;77;2
Talento TI;digitadores;1;2
Diseño;maqueteador;1;1
Ventas - Comercial - Administración;pinchote;3;1
Servicio al cliente;soc;1;3
Operativo;soc;2;3
Talento TI;soc;2;3
Contaduria;economistas;1;1
Talento TI;python;28;1
Salud;colegio;1;3
Gastronomia;colegio;2;3
Educación;colegio;3;3
Operativo;monedas;3;1
Construcción;delineante;4;2
Diseño;delineante;5;2
Operativo;maicao;1;1
Operativo;parking;2;1
Operativo;poblado;1;2
Ventas - Comercial - Administración;poblado;1;2
Project Manager;innovation;1;1
Ventas - Comercial - Administración;domingos;7;3
Servicio al cliente;domingos;2;3
Operativo;domingos;1;3
Operativo;indemnizaciones;1;1
Salud;respiratoria;27;1
Operativo;rioacha;1;1
Operativo;prefabricado;1;1
Ventas - Comercial - Administración;ondontologos;1;1
Gastronomia;am;1;6
Salud;am;8;6
Operativo;am;24;6
Ventas - Comercial - Administración;am;2;6
Educación;am;2;6
Servicio al cliente;am;4;6
Practicantes - Aprendices;magangue;1;2
Operativo;magangue;4;2
Educación;secundaria;1;1
Educación;filosofia;1;1
Operativo;ampolletas;2;1
Operativo;enderezado;1;1
Operativo;revisores;1;1
Salud;lab;3;1
Operativo;drogueiras;2;1
Servicio al cliente;peticiones;1;1
Operativo;osteosintesis;1;1
Talento TI;noc;4;3
Servicio al cliente;noc;1;3
Operativo;noc;1;3
Operativo;auxcartera;1;1
Ventas - Comercial - Administración;valle;15;6
Practicantes - Aprendices;valle;1;6
Financiero;valle;1;6
Construcción;valle;1;6
Operativo;valle;13;6
Agropecuario;valle;2;6
Talento TI;testing;5;1
Operativo;fuera;5;1
Servicio al cliente;inmediata;16;9
Psicologia;inmediata;2;9
Operativo;inmediata;34;9
Salud;inmediata;8;9
Talento TI;inmediata;1;9
Ventas - Comercial - Administración;inmediata;47;9
